新车价,表显里程,排量,轴距,最大马力,最大扭矩,前/后排侧气囊,前/后排头部气囊,胎压检测,感应雨刷,前/后排座椅加热,33项 外部配置,缺陷项检测,漆面修复检测,使用时间,中大型SUV,自动,自然吸气,涡轮增压,92号,95号,多点电喷,直喷,混合喷射,前置前驱,电动助力,通风盘式,手刹,电子驻车,长,宽,高
0.10828721,0.14667339999999998,0.12195122,0.74927115,0.26229507,0.33174226,0.5,1.0,1.0,1e-08,1e-08,0.083333336,0.13793103,0.22222222,0.275,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.57301295,0.5313175,0.42702702
0.1414984,0.26713708,0.3658537,0.90029156,0.3180328,0.31980908,0.5,1e-08,1e-08,1e-08,1e-08,0.41666666,0.10344828,5.559999999999999e-10,0.375,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1e-08,1e-08,0.93086874,0.62203026,0.4864865
0.29258594,0.25050402,0.2682927,0.81836736,0.50491804,0.61813843,0.5,1.0,1e-08,1e-08,1e-08,0.083333336,3.4500000000000005e-10,0.055555556,0.38333333,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,0.71497226,0.73218143,0.38378379999999995
0.06860528,0.0625,0.17073172,0.787172,0.18360655,0.15035799,0.5,1.0,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,5.559999999999999e-10,0.20833333,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.62772644,0.44708425,0.24216217
0.08045528,0.26965725,0.17073172,0.7609329,0.13114753,0.15274464,0.5,1e-08,1.0,1e-08,1e-08,0.25,3.4500000000000005e-10,0.11111111,0.375,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.7060998,0.44492440000000005,0.17297298
0.14890464,0.38911290000000004,0.17073172,0.7842566,0.35081968,0.35560858,0.5,1e-08,1e-08,1.0,1e-08,0.5833333,0.20689656,0.16666667,0.6,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.67615527,0.6025918,0.41621622
0.11678491,0.40372986,0.2682927,0.8090379,0.26229507,0.23627685,0.5,1e-08,1e-08,1e-08,1e-08,0.16666667,0.10344828,0.27777779999999996,0.625,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1e-08,1e-08,0.7874306999999999,0.57451403,0.19459459
0.3264208,0.29889113,0.2682927,0.81836736,0.50491804,0.61813843,1.0,1.0,1.0,1.0,0.5,8.33e-10,3.4500000000000005e-10,0.055555556,0.425,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,0.71497226,0.73218143,0.38378379999999995
0.045528963,0.06602823,0.17073172,0.7588921,0.13114753,0.16467779999999999,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,0.10344828,5.559999999999999e-10,0.225,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6624769,0.3174946,0.18378378
0.1337803,0.32963708,0.17073172,0.7979592,0.3737705,0.3436754,0.5,1e-08,1.0,1e-08,0.5,0.33333334,3.4500000000000005e-10,5.559999999999999e-10,0.625,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1.0,1.0,1e-08,0.794085,0.6414687,0.19891892
